[2022-05-22 01:27:54:0423] | GigEVisionManager.cpp-L0272: driver mode start!
[2022-05-22 01:35:08:0482] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:35:08:0482] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:35:08:0482] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80102], hostPort[49859], devIP[c0a80105]
[2022-05-22 01:35:08:0484] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80102], m_nUpDevIP[c0a80105]
[2022-05-22 01:35:08:0484] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:35:08:0486] | GigEVisionManager.cpp-L2769: event thread start...
[2022-05-22 01:35:08:0712] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:36:06:0000] | GigEVisionManager.cpp-L0898: disconnect device ...
[2022-05-22 01:36:06:0014] | GigEVisionManager.cpp-L2308: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2022-05-22 01:36:06:0036] | GigEVisionManager.cpp-L2840: event thread stop
[2022-05-22 01:36:06:0667] |   GigEVisionGVSP.cpp-L0417: [socket] NearBID[0], LastBID[0], output[0]
[2022-05-22 01:36:10:0058] | GigEVisionManager.cpp-L0272: driver mode start!
[2022-05-22 01:36:10:0058] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2022-05-22 01:36:10:0058] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:36:10:0058] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:36:10:0058] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80102], hostPort[53850], devIP[c0a80105]
[2022-05-22 01:36:10:0060] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80102], m_nUpDevIP[c0a80105]
[2022-05-22 01:36:10:0060] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:36:10:0062] | GigEVisionManager.cpp-L2769: event thread start...
[2022-05-22 01:36:10:0358] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:38:27:0325] | GigEVisionManager.cpp-L0272: driver mode start!
[2022-05-22 01:38:27:0325] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2022-05-22 01:38:27:0325] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:38:27:0325] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:38:27:0325] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80102], hostPort[55641], devIP[c0a80105]
[2022-05-22 01:38:27:0328] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80102], m_nUpDevIP[c0a80105]
[2022-05-22 01:38:27:0328] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:38:27:0329] | GigEVisionManager.cpp-L2769: event thread start...
[2022-05-22 01:38:27:0589] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:38:35:0948] | GigEVisionManager.cpp-L0898: disconnect device ...
[2022-05-22 01:38:35:0963] | GigEVisionManager.cpp-L2308: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2022-05-22 01:38:36:0028] | GigEVisionManager.cpp-L2840: event thread stop
[2022-05-22 01:38:36:0187] |   GigEVisionGVSP.cpp-L0417: [socket] NearBID[0], LastBID[0], output[0]
[2022-05-22 01:38:36:0205] | GigEVisionManager.cpp-L0272: driver mode start!
[2022-05-22 01:38:36:0205] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2022-05-22 01:38:36:0205] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:38:36:0205] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:38:36:0205] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80102], hostPort[55652], devIP[c0a80105]
[2022-05-22 01:38:36:0207] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80102], m_nUpDevIP[c0a80105]
[2022-05-22 01:38:36:0207] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:38:36:0209] | GigEVisionManager.cpp-L2769: event thread start...
[2022-05-22 01:38:36:0501] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:49:43:0083] | GigEVisionManager.cpp-L0272: driver mode start!
[2022-05-22 01:49:43:0083] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2022-05-22 01:49:43:0083] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:49:43:0083] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:49:43:0083] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80102], hostPort[57452], devIP[c0a80105]
[2022-05-22 01:49:43:0085] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80102], m_nUpDevIP[c0a80105]
[2022-05-22 01:49:43:0085] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:49:43:0086] | GigEVisionManager.cpp-L2769: event thread start...
[2022-05-22 01:49:43:0383] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:49:56:0994] | GigEVisionManager.cpp-L1152: GetCurCompressMode Execute Fails Node is not readable. : AccessException thrown in node 'ImageCompressionMode' while calling 'ImageCompressionMode.GetIntValue()' (file 'EnumerationT.h', line 131)
[2022-05-22 01:49:57:0002] | GigEVisionManager.cpp-L2661: GigE SendRsdCmdThread Start, ThreadId[30392]
[2022-05-22 01:49:57:0239] | GigEVisionManager.cpp-L4487: Lost Frame From Net[432], Total Frame Count[433], NetCount[1], CurBlock[433], LastBlock[0]
[2022-05-22 01:49:58:0378] | GigEVisionManager.cpp-L4504: throw frame from list[5], CurFrameNum[439], LastFrame[433]
[2022-05-22 01:50:06:0488] | GigEVisionManager.cpp-L4504: throw frame from list[32], CurFrameNum[486], LastFrame[458]
[2022-05-22 01:50:10:0199] | GigEVisionManager.cpp-L2308: AppGetCount[85], AppGetCountSucceed[44], ExpectRecv[508], NetRecv[76], ThrowAbnormalImage[0], NetLostFrame[432], ThrowInBufList[32], LostPackets[0]
[2022-05-22 01:50:10:0222] | GigEVisionManager.cpp-L2308: AppGetCount[85], AppGetCountSucceed[44], ExpectRecv[508], NetRecv[76], ThrowAbnormalImage[0], NetLostFrame[432], ThrowInBufList[32], LostPackets[0]
[2022-05-22 01:50:10:0222] | GigEVisionManager.cpp-L0898: disconnect device ...
[2022-05-22 01:50:10:0234] | GigEVisionManager.cpp-L2308: AppGetCount[85], AppGetCountSucceed[44], ExpectRecv[508], NetRecv[76], ThrowAbnormalImage[0], NetLostFrame[432], ThrowInBufList[32], LostPackets[0]
[2022-05-22 01:50:10:0234] | GigEVisionManager.cpp-L2707: SendRsdCmd thread stop
[2022-05-22 01:50:10:0238] | GigEVisionManager.cpp-L2840: event thread stop
[2022-05-22 01:50:11:0229] |   GigEVisionGVSP.cpp-L0417: [socket] NearBID[0], LastBID[0], output[0]
[2022-05-22 01:50:11:0253] | GigEVisionManager.cpp-L0272: driver mode start!
[2022-05-22 01:50:11:0253] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2022-05-22 01:50:11:0253] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:50:11:0253] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:50:11:0253] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80102], hostPort[61104], devIP[c0a80105]
[2022-05-22 01:50:11:0254] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80102], m_nUpDevIP[c0a80105]
[2022-05-22 01:50:11:0254] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:50:11:0255] | GigEVisionManager.cpp-L2769: event thread start...
[2022-05-22 01:50:11:0467] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:50:11:0613] | GigEVisionManager.cpp-L1152: GetCurCompressMode Execute Fails Node is not readable. : AccessException thrown in node 'ImageCompressionMode' while calling 'ImageCompressionMode.GetIntValue()' (file 'EnumerationT.h', line 131)
[2022-05-22 01:50:11:0620] | GigEVisionManager.cpp-L2661: GigE SendRsdCmdThread Start, ThreadId[30056]
[2022-05-22 01:50:26:0217] | GigEVisionManager.cpp-L2308: AppGetCount[169], AppGetCountSucceed[84], ExpectRecv[84], NetRecv[84], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2022-05-22 01:50:26:0239] | GigEVisionManager.cpp-L2308: AppGetCount[169], AppGetCountSucceed[84], ExpectRecv[84], NetRecv[84], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2022-05-22 01:50:26:0239] | GigEVisionManager.cpp-L0898: disconnect device ...
[2022-05-22 01:50:26:0251] | GigEVisionManager.cpp-L2308: AppGetCount[169], AppGetCountSucceed[84], ExpectRecv[84], NetRecv[84], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2022-05-22 01:50:26:0251] | GigEVisionManager.cpp-L2707: SendRsdCmd thread stop
[2022-05-22 01:50:26:0318] | GigEVisionManager.cpp-L2840: event thread stop
[2022-05-22 01:50:27:0283] |   GigEVisionGVSP.cpp-L0417: [socket] NearBID[0], LastBID[0], output[0]
[2022-05-22 01:50:27:0309] | GigEVisionManager.cpp-L0272: driver mode start!
[2022-05-22 01:50:27:0309] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2022-05-22 01:50:27:0309] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:50:27:0309] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:50:27:0309] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80102], hostPort[61115], devIP[c0a80105]
[2022-05-22 01:50:27:0309] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80102], m_nUpDevIP[c0a80105]
[2022-05-22 01:50:27:0309] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:50:27:0310] | GigEVisionManager.cpp-L2769: event thread start...
[2022-05-22 01:50:27:0525] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:50:27:0660] | GigEVisionManager.cpp-L0898: disconnect device ...
[2022-05-22 01:50:27:0672] | GigEVisionManager.cpp-L2308: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2022-05-22 01:50:27:0721] | GigEVisionManager.cpp-L2840: event thread stop
[2022-05-22 01:50:28:0901] |   GigEVisionGVSP.cpp-L0417: [socket] NearBID[0], LastBID[0], output[0]
[2022-05-22 01:50:28:0920] | GigEVisionManager.cpp-L0272: driver mode start!
[2022-05-22 01:50:28:0920] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2022-05-22 01:50:28:0920] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:50:28:0920] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:50:28:0920] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80102], hostPort[61126], devIP[c0a80105]
[2022-05-22 01:50:28:0922] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80102], m_nUpDevIP[c0a80105]
[2022-05-22 01:50:28:0922] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:50:28:0922] | GigEVisionManager.cpp-L2769: event thread start...
[2022-05-22 01:50:29:0133] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:50:30:0028] | GigEVisionManager.cpp-L1152: GetCurCompressMode Execute Fails Node is not readable. : AccessException thrown in node 'ImageCompressionMode' while calling 'ImageCompressionMode.GetIntValue()' (file 'EnumerationT.h', line 131)
[2022-05-22 01:50:30:0034] | GigEVisionManager.cpp-L2661: GigE SendRsdCmdThread Start, ThreadId[1372]
[2022-05-22 01:50:36:0291] | GigEVisionManager.cpp-L2308: AppGetCount[72], AppGetCountSucceed[35], ExpectRecv[35], NetRecv[35], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2022-05-22 01:50:36:0303] | GigEVisionManager.cpp-L2308: AppGetCount[72], AppGetCountSucceed[35], ExpectRecv[35], NetRecv[35], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2022-05-22 01:50:36:0303] | GigEVisionManager.cpp-L0898: disconnect device ...
[2022-05-22 01:50:36:0314] | GigEVisionManager.cpp-L2308: AppGetCount[72], AppGetCountSucceed[35], ExpectRecv[35], NetRecv[35], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2022-05-22 01:50:36:0314] | GigEVisionManager.cpp-L2707: SendRsdCmd thread stop
[2022-05-22 01:50:36:0402] | GigEVisionManager.cpp-L2840: event thread stop
[2022-05-22 01:50:36:0529] |   GigEVisionGVSP.cpp-L0417: [socket] NearBID[0], LastBID[0], output[0]
[2022-05-22 01:50:56:0427] | GigEVisionManager.cpp-L0276: socket mode start!
[2022-05-22 01:50:56:0427] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:50:56:0427] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:50:56:0427] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80102], hostPort[59308], devIP[c0a80105]
[2022-05-22 01:50:56:0429] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80102], m_nUpDevIP[c0a80105]
[2022-05-22 01:50:56:0429] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:50:56:0430] | GigEVisionManager.cpp-L2769: event thread start...
[2022-05-22 01:50:56:0718] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:50:59:0111] | GigEVisionManager.cpp-L1152: GetCurCompressMode Execute Fails Node is not readable. : AccessException thrown in node 'ImageCompressionMode' while calling 'ImageCompressionMode.GetIntValue()' (file 'EnumerationT.h', line 131)
[2022-05-22 01:50:59:0131] |   GigEVisionGVSP.cpp-L0271: GVSP GVSPThread Start, ThreadId[31112]
[2022-05-22 01:57:58:0099] | GigEVisionManager.cpp-L0276: socket mode start!
[2022-05-22 01:57:58:0100] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:57:58:0100] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:57:58:0100] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80102], hostPort[50487], devIP[c0a80105]
[2022-05-22 01:57:58:0101] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80102], m_nUpDevIP[c0a80105]
[2022-05-22 01:57:58:0101] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:57:58:0103] | GigEVisionManager.cpp-L2769: event thread start...
[2022-05-22 01:57:58:0409] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 01:58:00:0681] | GigEVisionManager.cpp-L1152: GetCurCompressMode Execute Fails Node is not readable. : AccessException thrown in node 'ImageCompressionMode' while calling 'ImageCompressionMode.GetIntValue()' (file 'EnumerationT.h', line 131)
[2022-05-22 01:58:00:0701] |   GigEVisionGVSP.cpp-L0271: GVSP GVSPThread Start, ThreadId[23056]
[2022-05-22 01:58:00:0936] | GigEVisionManager.cpp-L4487: Lost Frame From Net[1416], Total Frame Count[1417], NetCount[1], CurBlock[1417], LastBlock[0]
[2022-05-22 01:59:40:0491] | GigEVisionManager.cpp-L4487: Lost Frame From Net[1422], Total Frame Count[1994], NetCount[572], CurBlock[1994], LastBlock[1987]
[2022-05-22 02:12:58:0460] | GigEVisionManager.cpp-L0272: driver mode start!
[2022-05-22 02:12:58:0460] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2022-05-22 02:12:58:0460] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 02:12:58:0460] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 02:12:58:0460] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80102], hostPort[55429], devIP[c0a80105]
[2022-05-22 02:12:58:0462] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80102], m_nUpDevIP[c0a80105]
[2022-05-22 02:12:58:0462] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 02:12:58:0463] | GigEVisionManager.cpp-L2769: event thread start...
[2022-05-22 02:12:58:0769] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 02:14:40:0832] | GigEVisionManager.cpp-L0272: driver mode start!
[2022-05-22 02:14:40:0832] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2022-05-22 02:14:40:0832] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 02:14:40:0832] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 02:14:40:0832] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80102], hostPort[52161], devIP[c0a80105]
[2022-05-22 02:14:40:0834] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80102], m_nUpDevIP[c0a80105]
[2022-05-22 02:14:40:0834] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 02:14:40:0836] | GigEVisionManager.cpp-L2769: event thread start...
[2022-05-22 02:14:41:0119] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 02:37:33:0114] | GigEVisionManager.cpp-L0272: driver mode start!
[2022-05-22 02:37:33:0114] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2022-05-22 02:37:33:0114] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 02:37:33:0114] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 02:37:33:0114] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80102], hostPort[59808], devIP[c0a80105]
[2022-05-22 02:37:33:0116] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80102], m_nUpDevIP[c0a80105]
[2022-05-22 02:37:33:0116] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 02:37:33:0118] | GigEVisionManager.cpp-L2769: event thread start...
[2022-05-22 02:37:33:0413] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 02:37:46:0809] | GigEVisionManager.cpp-L1152: GetCurCompressMode Execute Fails Node is not readable. : AccessException thrown in node 'ImageCompressionMode' while calling 'ImageCompressionMode.GetIntValue()' (file 'EnumerationT.h', line 131)
[2022-05-22 02:37:46:0815] | GigEVisionManager.cpp-L2661: GigE SendRsdCmdThread Start, ThreadId[12796]
[2022-05-22 02:37:47:0052] | GigEVisionManager.cpp-L4487: Lost Frame From Net[2344], Total Frame Count[2345], NetCount[1], CurBlock[2345], LastBlock[0]
[2022-05-22 02:37:54:0075] | GigEVisionManager.cpp-L2308: AppGetCount[84], AppGetCountSucceed[41], ExpectRecv[2385], NetRecv[41], ThrowAbnormalImage[0], NetLostFrame[2344], ThrowInBufList[0], LostPackets[0]
[2022-05-22 02:37:54:0087] | GigEVisionManager.cpp-L2308: AppGetCount[84], AppGetCountSucceed[41], ExpectRecv[2385], NetRecv[41], ThrowAbnormalImage[0], NetLostFrame[2344], ThrowInBufList[0], LostPackets[0]
[2022-05-22 02:37:54:0087] | GigEVisionManager.cpp-L0898: disconnect device ...
[2022-05-22 02:37:54:0087] | GigEVisionManager.cpp-L2707: SendRsdCmd thread stop
[2022-05-22 02:37:54:0099] | GigEVisionManager.cpp-L2308: AppGetCount[84], AppGetCountSucceed[41], ExpectRecv[2385], NetRecv[41], ThrowAbnormalImage[0], NetLostFrame[2344], ThrowInBufList[0], LostPackets[0]
[2022-05-22 02:37:54:0120] | GigEVisionManager.cpp-L2840: event thread stop
[2022-05-22 02:37:55:0242] |   GigEVisionGVSP.cpp-L0417: [socket] NearBID[0], LastBID[0], output[0]
[2022-05-22 02:43:05:0630] | GigEVisionManager.cpp-L0272: driver mode start!
[2022-05-22 02:43:05:0630] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2022-05-22 02:43:05:0630] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 02:43:05:0630] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 02:43:05:0630] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80102], hostPort[63226], devIP[c0a80105]
[2022-05-22 02:43:05:0632] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80102], m_nUpDevIP[c0a80105]
[2022-05-22 02:43:05:0632] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 02:43:05:0634] | GigEVisionManager.cpp-L2769: event thread start...
[2022-05-22 02:43:05:0935] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 02:51:20:0633] | GigEVisionManager.cpp-L0272: driver mode start!
[2022-05-22 02:51:20:0633] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2022-05-22 02:51:20:0633] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 02:51:20:0633] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 02:51:20:0633] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80102], hostPort[52816], devIP[c0a80105]
